year,state,type,acres,total_acres_all_vegetables
2011,Idaho,tomatoes,0,232.1000022888186
2011,Illinois,tomatoes,1.50499999523163,412.46499884128565
2011,Indiana,tomatoes,7,147.4600008726125
2011,Iowa,tomatoes,3.64999997615814,456.5799964666371
2011,Kansas,tomatoes,0,32.5
2011,Kentucky,tomatoes,0,62.5
2011,Louisiana,tomatoes,0,30.25
2011,Maine,tomatoes,53,522.079999923706
2011,Maryland,tomatoes,10.8799997344613,744.2350042983892
2011,Massachusetts,tomatoes,4.69999980926514,1332.4999876022341
2011,Michigan,tomatoes,10.5300001874566,645.1590073443948
2011,Minnesota,tomatoes,0.90999998152256,1536.3199743777514
2011,Mississippi,tomatoes,9,17.5
2011,Missouri,tomatoes,0,241.0599975585941
2011,Montana,tomatoes,3,482.0499999523163
2011,Nebraska,tomatoes,0,195.24999856948853
2011,Nevada,tomatoes,0,3561.499999523163
2011,New Hampshire,tomatoes,15,329
2011,New Jersey,tomatoes,90,512.710000038147
2011,New Mexico,tomatoes,0,174.0599975585938
2011,New York,tomatoes,45.0299999993294,2322.079997999598
2011,North Carolina,tomatoes,180.810001373291,4471.449125289924
2011,North Dakota,tomatoes,0.5,206.27999687194801
2011,Ohio,tomatoes,1.02999997138977,602.2999956160783
2011,Oklahoma,tomatoes,20,259
2011,Oregon,tomatoes,5.25999999977648,4576.765013562514
2011,Pennsylvania,tomatoes,3,1646.589994430542
2011,Rhode Island,tomatoes,3.02999997138977,60.799999952316284
2011,South Carolina,tomatoes,0,240
2011,South Dakota,tomatoes,0,102.40000000596046
2011,Tennessee,tomatoes,0,732.7999725341801
2011,Texas,tomatoes,5.54999995231628,1334.5370204448745
2011,Utah,tomatoes,1,24
2011,Vermont,tomatoes,0,1053
2011,Virginia,tomatoes,103.599998474121,1195.2200154811105
2011,Washington,tomatoes,36.000001527369,3916.700018025931
2011,West Virginia,tomatoes,0,65.5
2011,Wisconsin,tomatoes,60.2599983215332,3633.039978742595
2011,Wyoming,tomatoes,0,3.4300000667572
2002,Alabama,lettuce,0,129
2002,Alaska,lettuce,0,0
2002,Arizona,lettuce,46,1645
2002,Arkansas,lettuce,0,4975
2002,California,lettuce,9969,38355
2002,Colorado,lettuce,326,2075
2002,Connecticut,lettuce,0,0
2002,Delaware,lettuce,0,0
2002,Florida,lettuce,51,927
2002,Georgia,lettuce,0,422
2002,Hawaii,lettuce,0,111
2002,Idaho,lettuce,0,91.35
2002,Illinois,lettuce,0,316
2002,Indiana,lettuce,0,416
2002,Iowa,lettuce,0,68
2002,Kansas,lettuce,0,102
2002,Kentucky,lettuce,0,0
2002,Louisiana,lettuce,0,0
2002,Maine,lettuce,0,0
2002,Maryland,lettuce,0,500
2002,Massachusetts,lettuce,0,0
2002,Michigan,lettuce,1,383
2002,Minnesota,lettuce,0,1076
2002,Mississippi,lettuce,0,0
2002,Missouri,lettuce,0,64
2002,Montana,lettuce,0,22
2002,Nebraska,lettuce,0,324
2002,Nevada,lettuce,0,16
2002,New Hampshire,lettuce,0,227.25
2002,New Jersey,lettuce,0,301
2002,New Mexico,lettuce,0,1040
2002,New York,lettuce,0,1621
2002,North Carolina,lettuce,0,607
2002,North Dakota,lettuce,0,25
2002,Ohio,lettuce,10,344
2002,Oklahoma,lettuce,0,40
2002,Oregon,lettuce,3,2648
2002,Pennsylvania,lettuce,4,425
2002,Rhode Island,lettuce,1.3,43.9
2002,South Carolina,lettuce,0,0
2002,South Dakota,lettuce,0,63
2002,Tennessee,lettuce,0,64
2002,Texas,lettuce,5,246
2002,Utah,lettuce,0,146
2002,Vermont,lettuce,0,746
2002,Virginia,lettuce,0,915
2002,Washington,lettuce,59,6802
2002,West Virginia,lettuce,0,24
2002,Wisconsin,lettuce,0,1541
2002,Wyoming,lettuce,0,0
2003,Alabama,lettuce,0,130
2003,Alaska,lettuce,0,215
2003,Arizona,lettuce,46,1379.5
2003,Arkansas,lettuce,0,20
2003,California,lettuce,11420,48446.625
2003,Colorado,lettuce,323,1619
2003,Connecticut,lettuce,0,0
